partitioning,price,rooms_count,useful_surface,built_surface,bathrooms_count,price_range
decomandat,53500,3.0,60.0,72.0,1.0,mic
semidecomandat,54990,2.0,64.0,73.0,1.0,mic
semidecomandat,79806,2.0,63.0,79.0,1.0,mediu
decomandat,107040,4.0,86.0,102.0,2.0,mediu
decomandat,131650,2.0,65.0,85.0,1.0,mediu
decomandat,139000,3.0,87.0,,2.0,mediu
semidecomandat,137500,2.0,55.0,79.0,2.0,mediu
semidecomandat,230000,4.0,112.0,130.0,3.0,mare
semidecomandat,129500,2.0,72.0,97.0,2.0,mediu
decomandat,62900,2.0,54.0,67.0,1.0,mic
decomandat,327000,2.0,74.0,100.0,1.0,mare
,42990,2.0,70.0,84.0,1.0,mic
semidecomandat,129999,2.0,45.0,75.0,1.0,mediu
decomandat,192600,2.0,63.0,77.0,2.0,mare
decomandat,39335,1.0,42.0,51.0,1.0,mic
semidecomandat,314000,4.0,140.0,167.0,3.0,mare
decomandat,83000,2.0,78.0,107.0,1.0,mediu
semidecomandat,171500,3.0,95.0,136.0,3.0,mare
decomandat,40400,2.0,40.0,50.0,1.0,mic
semidecomandat,88000,3.0,60.0,,1.0,mediu
semidecomandat,83602,1.0,45.0,,1.0,mediu
semidecomandat,51990,2.0,60.0,69.0,1.0,mic
decomandat,47116,1.0,55.0,64.0,1.0,mic
semidecomandat,118250,2.0,45.0,66.0,1.0,mediu
decomandat,71476,2.0,67.0,75.0,1.0,mediu
decomandat,145000,2.0,81.0,95.0,1.0,mare
decomandat,79000,2.0,56.0,63.0,1.0,mediu
decomandat,129700,3.0,81.0,85.0,1.0,mediu
semidecomandat,82000,2.0,56.0,64.0,1.0,mediu
semidecomandat,93900,2.0,49.0,56.0,1.0,mediu
decomandat,54000,2.0,60.0,68.0,1.0,mic
semidecomandat,68000,3.0,68.0,80.0,2.0,mediu
decomandat,112270,2.0,68.0,78.0,1.0,mediu
decomandat,280000,3.0,141.0,162.0,2.0,mare
semidecomandat,72000,2.0,42.0,50.0,1.0,mediu
semidecomandat,162000,4.0,108.0,115.0,3.0,mare
semidecomandat,328705,4.0,128.0,204.0,3.0,mare
decomandat,119000,2.0,52.0,66.0,1.0,mediu
semidecomandat,45000,1.0,23.0,26.0,1.0,mic
decomandat,59900,2.0,51.0,73.0,1.0,mic
decomandat,83500,2.0,58.0,71.0,1.0,mediu
decomandat,72700,3.0,86.0,95.0,2.0,mediu
semidecomandat,103000,3.0,73.0,83.0,2.0,mediu
decomandat,58300,2.0,40.0,50.0,1.0,mic
decomandat,65500,1.0,41.0,41.0,1.0,mediu
decomandat,52000,1.0,28.0,35.0,1.0,mic
semidecomandat,87500,1.0,48.0,65.0,1.0,mediu
decomandat,103700,2.0,63.0,75.0,1.0,mediu
decomandat,134500,3.0,77.0,93.0,2.0,mediu
decomandat,130000,5.0,113.0,118.0,2.0,mediu
decomandat,158122,2.0,65.0,86.0,1.0,mare
semidecomandat,117900,2.0,64.0,78.0,1.0,mediu
semidecomandat,74900,2.0,40.0,52.0,1.0,mediu
decomandat,78000,4.0,82.0,85.0,2.0,mediu
,147000,3.0,82.0,89.0,2.0,mare
semidecomandat,57000,2.0,55.0,67.0,1.0,mic
semidecomandat,85900,2.0,50.0,60.0,1.0,mediu
semidecomandat,78000,2.0,47.0,53.0,1.0,mediu
decomandat,160000,3.0,80.0,112.0,2.0,mare
decomandat,153000,3.0,115.0,150.0,2.0,mare
decomandat,59000,2.0,57.0,70.0,1.0,mic
semidecomandat,78725,2.0,61.0,77.0,1.0,mediu
decomandat,68000,3.0,64.0,68.0,2.0,mediu
semidecomandat,82000,2.0,56.0,64.0,1.0,mediu
semidecomandat,124900,3.0,112.0,130.0,2.0,mediu
decomandat,84500,3.0,74.0,90.0,2.0,mediu
semidecomandat,126056,2.0,130.0,156.0,1.0,mediu
semidecomandat,151400,3.0,70.0,85.0,2.0,mare
semidecomandat,66000,2.0,63.0,70.0,1.0,mediu
nedecomandat,136500,3.0,79.0,110.0,2.0,mediu
decomandat,49450,2.0,48.0,58.0,1.0,mic
decomandat,82000,2.0,65.0,67.0,1.0,mediu
decomandat,79900,3.0,70.0,73.0,1.0,mediu
decomandat,180000,3.0,79.0,82.0,1.0,mare
decomandat,42500,2.0,50.0,61.0,1.0,mic
decomandat,83500,3.0,63.0,67.0,1.0,mediu
decomandat,127000,3.0,64.0,143.0,2.0,mediu
decomandat,145000,3.0,90.0,105.0,2.0,mare
decomandat,130000,4.0,127.0,152.0,1.0,mediu
decomandat,105000,4.0,78.0,82.0,2.0,mediu
semidecomandat,67900,3.0,40.0,42.0,1.0,mediu
decomandat,40500,1.0,34.0,42.0,1.0,mic
decomandat,120000,3.0,72.0,80.0,1.0,mediu
decomandat,209920,4.0,116.0,,2.0,mare
decomandat,150000,3.0,,,2.0,mare
decomandat,218000,4.0,136.0,232.0,3.0,mare
decomandat,91000,3.0,69.0,71.0,2.0,mediu
decomandat,82000,2.0,60.0,67.0,1.0,mediu
decomandat,48400,2.0,55.0,65.0,1.0,mic
,500000,5.0,228.0,259.0,4.0,mare
decomandat,39900,2.0,50.0,59.0,1.0,mic
semidecomandat,78500,1.0,43.0,58.0,1.0,mediu
semidecomandat,112000,4.0,83.0,90.0,2.0,mediu
decomandat,82000,2.0,55.0,63.0,1.0,mediu
decomandat,89900,4.0,94.0,,2.0,mediu
decomandat,49900,2.0,45.0,55.0,1.0,mic
decomandat,124000,3.0,85.0,92.0,2.0,mediu
decomandat,40140,2.0,53.0,61.0,1.0,mic
decomandat,81324,2.0,64.0,77.0,1.0,mediu
decomandat,57660,2.0,53.0,57.0,1.0,mic
decomandat,414000,3.0,87.0,110.0,2.0,mare
decomandat,86000,4.0,85.0,85.0,2.0,mediu
decomandat,551000,3.0,130.0,202.0,3.0,mare
semidecomandat,74900,2.0,56.0,56.0,1.0,mediu
decomandat,94500,2.0,64.0,70.0,1.0,mediu
decomandat,82000,2.0,56.0,64.0,1.0,mediu
decomandat,65000,2.0,58.0,60.0,1.0,mic
circular,110000,4.0,90.0,95.0,2.0,mediu
semidecomandat,78900,2.0,58.0,139.0,2.0,mediu
decomandat,65000,2.0,52.0,63.0,1.0,mic
decomandat,46000,2.0,53.0,60.0,1.0,mic
semidecomandat,54000,2.0,37.0,39.0,1.0,mic
decomandat,95000,2.0,76.0,76.0,1.0,mediu
decomandat,399000,3.0,127.0,170.0,3.0,mare
decomandat,71900,3.0,76.0,84.0,2.0,mediu
decomandat,187000,3.0,102.0,,2.0,mare
decomandat,105000,2.0,43.0,63.0,1.0,mediu
decomandat,202500,3.0,120.0,140.0,2.0,mare
decomandat,72860,3.0,81.0,94.0,2.0,mediu
decomandat,257300,4.0,103.0,174.0,3.0,mare
decomandat,439410,4.0,180.0,371.0,3.0,mare
decomandat,81900,2.0,54.0,90.0,1.0,mediu
decomandat,53000,2.0,55.0,66.0,1.0,mic
semidecomandat,52300,2.0,64.0,75.0,1.0,mic
decomandat,79400,2.0,53.0,62.0,1.0,mediu
semidecomandat,60816,2.0,51.0,61.0,1.0,mic
decomandat,86600,2.0,61.0,74.0,1.0,mediu
decomandat,70500,3.0,76.0,92.0,1.0,mediu
semidecomandat,72500,3.0,71.0,82.0,2.0,mediu
decomandat,57000,2.0,61.0,73.0,1.0,mic
decomandat,69000,2.0,57.0,63.0,1.0,mediu
decomandat,102000,3.0,77.0,88.0,2.0,mediu
semidecomandat,65000,2.0,53.0,59.0,1.0,mic
decomandat,260000,2.0,107.0,135.0,2.0,mare
decomandat,245000,3.0,101.0,107.0,3.0,mare
decomandat,56000,1.0,42.0,,1.0,mic
decomandat,144000,2.0,58.0,70.0,1.0,mare
decomandat,47000,1.0,48.0,,1.0,mic
decomandat,41000,1.0,45.0,52.0,1.0,mic
decomandat,129900,3.0,72.0,80.0,1.0,mediu
semidecomandat,87500,1.0,46.0,59.0,1.0,mediu
decomandat,87500,2.0,66.0,79.0,1.0,mediu
decomandat,103000,3.0,73.0,84.0,2.0,mediu
decomandat,71900,3.0,80.0,96.0,2.0,mediu
semidecomandat,146000,3.0,83.0,111.0,2.0,mare
decomandat,62000,2.0,50.0,53.0,1.0,mic
decomandat,175000,3.0,350.0,,2.0,mare
semidecomandat,94000,2.0,56.0,62.0,1.0,mediu
decomandat,139000,3.0,,,2.0,mediu
decomandat,49000,1.0,40.0,40.0,1.0,mic
decomandat,63176,3.0,78.0,94.0,2.0,mic
decomandat,64900,3.0,76.0,80.0,2.0,mic
semidecomandat,93500,3.0,72.0,75.0,2.0,mediu
decomandat,110000,3.0,107.0,130.0,2.0,mediu
semidecomandat,115000,3.0,88.0,100.0,2.0,mediu
decomandat,225000,5.0,175.0,221.0,4.0,mare
decomandat,73000,4.0,77.0,,2.0,mediu
decomandat,83370,2.0,53.0,66.0,1.0,mediu
decomandat,133000,2.0,68.0,71.0,2.0,mediu
decomandat,62500,2.0,47.0,55.0,1.0,mic
decomandat,104900,3.0,81.0,96.0,2.0,mediu
decomandat,90000,2.0,54.0,,1.0,mediu
decomandat,55570,2.0,59.0,70.0,1.0,mic
decomandat,215000,2.0,78.0,94.0,1.0,mare
semidecomandat,120000,3.0,79.0,94.0,2.0,mediu
semidecomandat,62900,1.0,38.0,48.0,1.0,mic
semidecomandat,65000,2.0,53.0,65.0,1.0,mic
semidecomandat,209000,3.0,75.0,92.0,2.0,mare
semidecomandat,885000,4.0,169.0,205.0,3.0,mare
semidecomandat,93500,3.0,71.0,94.0,2.0,mediu
decomandat,46900,2.0,58.0,69.0,1.0,mic
semidecomandat,130000,4.0,84.0,112.0,2.0,mediu
semidecomandat,43500,1.0,30.0,30.0,1.0,mic
decomandat,104900,3.0,85.0,95.0,1.0,mediu
decomandat,112900,3.0,89.0,105.0,2.0,mediu
decomandat,187000,3.0,113.0,,2.0,mare
decomandat,39000,1.0,43.0,48.0,1.0,mic
decomandat,360000,4.0,112.0,169.0,2.0,mare
semidecomandat,82000,1.0,46.0,65.0,1.0,mediu
decomandat,97500,2.0,66.0,78.0,1.0,mediu
decomandat,97400,2.0,62.0,77.0,1.0,mediu
semidecomandat,106518,3.0,72.0,81.0,2.0,mediu
circular,61000,2.0,50.0,70.0,1.0,mic
decomandat,79000,2.0,56.0,63.0,1.0,mediu
semidecomandat,89000,2.0,56.0,56.0,1.0,mediu
decomandat,129500,2.0,74.0,80.0,1.0,mediu
decomandat,103000,3.0,73.0,84.0,2.0,mediu
semidecomandat,230000,4.0,110.0,136.0,3.0,mare
semidecomandat,117199,2.0,67.0,,1.0,mediu
semidecomandat,49990,2.0,39.0,45.0,1.0,mic
decomandat,125000,3.0,86.0,94.0,1.0,mediu
decomandat,52000,1.0,43.0,59.0,1.0,mic
decomandat,53900,2.0,61.0,72.0,1.0,mic
decomandat,65000,2.0,62.0,75.0,1.0,mic
decomandat,106000,3.0,98.0,135.0,2.0,mediu
semidecomandat,133000,3.0,77.0,90.0,1.0,mediu
decomandat,138000,2.0,62.0,75.0,1.0,mediu
decomandat,565210,3.0,248.0,274.0,3.0,mare
decomandat,83500,2.0,58.0,71.0,1.0,mediu
decomandat,127000,2.0,56.0,71.0,2.0,mediu
decomandat,143000,2.0,66.0,66.0,1.0,mare
decomandat,129000,2.0,49.0,55.0,1.0,mediu
decomandat,359000,3.0,112.0,130.0,2.0,mare
decomandat,82000,2.0,56.0,63.0,1.0,mediu
decomandat,46900,2.0,47.0,50.0,1.0,mic
decomandat,98000,2.0,55.0,65.0,1.0,mediu
decomandat,74000,3.0,65.0,68.0,1.0,mediu
semidecomandat,56900,1.0,27.0,37.0,1.0,mic
semidecomandat,173010,3.0,64.0,89.0,2.0,mare
decomandat,66900,4.0,65.0,71.0,1.0,mediu
semidecomandat,88000,1.0,89.0,110.0,1.0,mediu
decomandat,81500,2.0,62.0,74.0,1.0,mediu
decomandat,82000,2.0,56.0,67.0,1.0,mediu
decomandat,110000,2.0,54.0,72.0,1.0,mediu
decomandat,83000,2.0,50.0,68.0,1.0,mediu
semidecomandat,78900,2.0,55.0,55.0,1.0,mediu
,114990,3.0,112.0,,2.0,mediu
decomandat,154990,2.0,70.0,80.0,1.0,mare
semidecomandat,62000,2.0,51.0,58.0,1.0,mic
decomandat,350000,4.0,108.0,130.0,3.0,mare
decomandat,595000,4.0,130.0,155.0,3.0,mare
nedecomandat,61000,3.0,69.0,,1.0,mic
decomandat,79500,3.0,73.0,85.0,2.0,mediu
decomandat,195700,3.0,81.0,115.0,2.0,mare
decomandat,59000,2.0,53.0,66.0,1.0,mic
decomandat,52500,1.0,41.0,45.0,1.0,mic
decomandat,95000,3.0,100.0,120.0,2.0,mediu
decomandat,330000,4.0,119.0,223.0,3.0,mare
semidecomandat,75249,2.0,59.0,74.0,1.0,mediu
decomandat,95000,3.0,100.0,120.0,2.0,mediu
semidecomandat,207000,3.0,81.0,98.0,2.0,mare
decomandat,56711,2.0,52.0,67.0,1.0,mic
decomandat,150000,3.0,79.0,90.0,2.0,mare
decomandat,62900,2.0,60.0,65.0,1.0,mic
semidecomandat,90900,3.0,66.0,73.0,1.0,mediu
semidecomandat,86000,2.0,53.0,55.0,1.0,mediu
decomandat,59000,2.0,56.0,70.0,1.0,mic
semidecomandat,85000,3.0,66.0,72.0,2.0,mediu
semidecomandat,53500,2.0,43.0,57.0,1.0,mic
semidecomandat,47300,2.0,53.0,80.0,1.0,mic
decomandat,139000,3.0,109.0,128.0,2.0,mediu
semidecomandat,99800,4.0,92.0,107.0,2.0,mediu
decomandat,69000,2.0,50.0,55.0,1.0,mediu
decomandat,121540,2.0,67.0,90.0,1.0,mediu
decomandat,122000,3.0,70.0,80.0,2.0,mediu
decomandat,85000,2.0,57.0,65.0,1.0,mediu
decomandat,71900,3.0,68.0,75.0,2.0,mediu
decomandat,114900,3.0,,80.0,2.0,mediu
semidecomandat,79500,2.0,40.0,45.0,1.0,mediu
semidecomandat,78900,2.0,50.0,55.0,1.0,mediu
decomandat,85800,2.0,54.0,63.0,1.0,mediu
decomandat,82000,2.0,55.0,63.0,1.0,mediu
semidecomandat,135000,4.0,90.0,124.0,3.0,mediu
decomandat,119000,4.0,88.0,100.0,2.0,mediu
decomandat,84800,2.0,45.0,59.0,1.0,mediu
decomandat,79500,2.0,64.0,75.0,1.0,mediu
decomandat,122580,2.0,44.0,64.0,1.0,mediu
decomandat,375000,4.0,128.0,128.0,2.0,mare
semidecomandat,79000,1.0,47.0,61.0,1.0,mediu
decomandat,450000,4.0,169.0,450.0,4.0,mare
decomandat,68000,2.0,71.0,88.0,1.0,mediu
semidecomandat,69000,2.0,66.0,70.0,1.0,mediu
decomandat,77900,2.0,65.0,80.0,1.0,mediu
decomandat,185000,3.0,110.0,260.0,2.0,mare
decomandat,68150,1.0,36.0,49.0,1.0,mediu
decomandat,83600,1.0,53.0,65.0,1.0,mediu
decomandat,65000,2.0,63.0,75.0,1.0,mic
decomandat,74190,3.0,89.0,105.0,2.0,mediu
decomandat,73200,3.0,71.0,84.0,2.0,mediu
semidecomandat,86000,1.0,48.0,61.0,1.0,mediu
decomandat,394000,4.0,134.0,155.0,3.0,mare
decomandat,77000,3.0,81.0,89.0,2.0,mediu
decomandat,165000,3.0,90.0,,2.0,mare
decomandat,83000,2.0,54.0,83.0,1.0,mediu
semidecomandat,121540,2.0,75.0,85.0,1.0,mediu
semidecomandat,58500,2.0,46.0,46.0,1.0,mic
semidecomandat,154500,3.0,86.0,116.0,2.0,mare
semidecomandat,78347,2.0,61.0,73.0,1.0,mediu
decomandat,48000,2.0,56.0,66.0,1.0,mic
decomandat,300000,4.0,140.0,159.0,2.0,mare
circular,357000,8.0,220.0,260.0,5.0,mare
semidecomandat,52000,2.0,35.0,40.0,1.0,mic
semidecomandat,67500,2.0,50.0,50.0,1.0,mediu
decomandat,78900,2.0,63.0,72.0,1.0,mediu
decomandat,76500,2.0,63.0,74.0,1.0,mediu
decomandat,95000,3.0,99.0,119.0,2.0,mediu
decomandat,89383,2.0,57.0,64.0,1.0,mediu
decomandat,122500,3.0,105.0,110.0,2.0,mediu
decomandat,64000,2.0,56.0,69.0,1.0,mic
semidecomandat,123000,3.0,96.0,118.0,2.0,mediu
semidecomandat,53999,2.0,43.0,50.0,1.0,mic
decomandat,83000,3.0,73.0,77.0,2.0,mediu
decomandat,65900,2.0,64.0,81.0,1.0,mediu
decomandat,71500,3.0,97.0,112.0,2.0,mediu
decomandat,290000,4.0,95.0,110.0,2.0,mare
decomandat,117000,2.0,59.0,71.0,1.0,mediu
semidecomandat,82080,2.0,62.0,75.0,1.0,mediu
decomandat,92000,2.0,66.0,82.0,1.0,mediu
decomandat,75705,3.0,72.0,83.0,2.0,mediu
semidecomandat,67000,2.0,50.0,,1.0,mediu
decomandat,68900,2.0,53.0,60.0,1.0,mediu
decomandat,118000,3.0,87.0,,2.0,mediu
decomandat,88000,3.0,88.0,100.0,2.0,mediu
decomandat,79000,2.0,50.0,58.0,1.0,mediu
nedecomandat,150000,2.0,70.0,84.0,1.0,mare
circular,300000,5.0,150.0,177.0,2.0,mare
decomandat,27500,1.0,30.0,32.0,1.0,mic
decomandat,210000,3.0,128.0,135.0,2.0,mare
decomandat,125000,3.0,66.0,70.0,2.0,mediu
decomandat,125830,2.0,47.0,55.0,1.0,mediu
decomandat,44000,2.0,57.0,76.0,1.0,mic
semidecomandat,146243,2.0,132.0,165.0,2.0,mare
decomandat,94300,3.0,66.0,96.0,2.0,mediu
semidecomandat,74900,2.0,55.0,64.0,1.0,mediu
decomandat,105000,3.0,92.0,108.0,2.0,mediu
decomandat,27500,1.0,30.0,32.0,1.0,mic
decomandat,479000,5.0,166.0,196.0,3.0,mare
semidecomandat,52000,1.0,36.0,43.0,1.0,mic
semidecomandat,80000,2.0,55.0,70.0,1.0,mediu
semidecomandat,82971,2.0,65.0,82.0,1.0,mediu
decomandat,299500,4.0,130.0,400.0,3.0,mare
decomandat,360000,5.0,211.0,298.0,2.0,mare
decomandat,140000,3.0,85.0,,2.0,mediu
decomandat,100940,2.0,53.0,64.0,1.0,mediu
decomandat,41500,2.0,46.0,48.0,1.0,mic
circular,62950,3.0,59.0,62.0,1.0,mic
decomandat,99000,2.0,51.0,51.0,1.0,mediu
semidecomandat,65000,2.0,55.0,63.0,1.0,mic
decomandat,82000,2.0,59.0,67.0,1.0,mediu
semidecomandat,70000,1.0,45.0,55.0,1.0,mediu
decomandat,275000,3.0,141.0,184.0,2.0,mare
decomandat,200000,4.0,100.0,135.0,2.0,mare
decomandat,253000,3.0,84.0,101.0,2.0,mare
semidecomandat,69500,1.0,38.0,38.0,1.0,mediu
decomandat,152000,3.0,90.0,103.0,1.0,mare
decomandat,289950,3.0,127.0,212.0,3.0,mare
decomandat,117000,3.0,64.0,67.0,2.0,mediu
semidecomandat,82000,1.0,46.0,65.0,1.0,mediu
decomandat,45000,1.0,36.0,43.0,1.0,mic
decomandat,53200,2.0,62.0,71.0,1.0,mic
decomandat,79000,2.0,60.0,67.0,1.0,mediu
decomandat,47000,1.0,33.0,40.0,1.0,mic
semidecomandat,450000,3.0,110.0,170.0,2.0,mare
decomandat,750000,5.0,260.0,320.0,4.0,mare
decomandat,148000,3.0,85.0,104.0,2.0,mare
decomandat,49000,2.0,49.0,55.0,1.0,mic
decomandat,130000,2.0,58.0,86.0,1.0,mediu
semidecomandat,75000,1.0,55.0,73.0,1.0,mediu
,109000,2.0,70.0,75.0,1.0,mediu
decomandat,169900,4.0,82.0,91.0,2.0,mare
decomandat,174500,3.0,90.0,95.0,2.0,mare
semidecomandat,117500,3.0,114.0,143.0,1.0,mediu
semidecomandat,59900,2.0,52.0,54.0,1.0,mic
decomandat,57600,2.0,63.0,70.0,1.0,mic
decomandat,115000,3.0,87.0,98.0,2.0,mediu
decomandat,117000,2.0,59.0,71.0,1.0,mediu
decomandat,55650,2.0,47.0,57.0,1.0,mic
nedecomandat,125000,4.0,138.0,152.0,2.0,mediu
decomandat,95000,3.0,100.0,120.0,2.0,mediu
semidecomandat,83500,3.0,65.0,79.0,2.0,mediu
decomandat,165000,3.0,86.0,94.0,2.0,mare
decomandat,32900,1.0,33.0,38.0,1.0,mic
decomandat,131800,3.0,63.0,159.0,2.0,mediu
decomandat,165000,5.0,96.0,108.0,2.0,mare
semidecomandat,125000,3.0,76.0,86.0,2.0,mediu
decomandat,39500,1.0,32.0,32.0,1.0,mic
decomandat,59000,2.0,53.0,73.0,1.0,mic
decomandat,450000,6.0,158.0,178.0,3.0,mare
decomandat,51600,2.0,50.0,58.0,1.0,mic
decomandat,81000,1.0,47.0,60.0,1.0,mediu
decomandat,84561,2.0,51.0,71.0,2.0,mediu
semidecomandat,161330,3.0,64.0,89.0,2.0,mare
decomandat,55000,2.0,55.0,65.0,1.0,mic
decomandat,71000,3.0,66.0,77.0,1.0,mediu
semidecomandat,58300,2.0,41.0,51.0,1.0,mic
decomandat,90780,2.0,53.0,64.0,1.0,mediu
decomandat,89100,2.0,45.0,50.0,1.0,mediu
decomandat,680000,4.0,164.0,200.0,3.0,mare
semidecomandat,185000,2.0,61.0,105.0,1.0,mare
decomandat,57000,2.0,55.0,,1.0,mic
decomandat,93000,2.0,66.0,77.0,1.0,mediu
decomandat,96200,2.0,56.0,74.0,1.0,mediu
decomandat,680000,4.0,157.0,218.0,3.0,mare
decomandat,110000,2.0,56.0,63.0,1.0,mediu
semidecomandat,83632,2.0,63.0,76.0,1.0,mediu
semidecomandat,89000,4.0,89.0,92.0,2.0,mediu
decomandat,128000,3.0,94.0,94.0,1.0,mediu
decomandat,237500,3.0,94.0,110.0,3.0,mare
semidecomandat,165000,3.0,78.0,90.0,1.0,mare
semidecomandat,83000,1.0,47.0,57.0,1.0,mediu
semidecomandat,105000,3.0,67.0,,2.0,mediu
decomandat,204000,2.0,75.0,86.0,1.0,mare
decomandat,350000,5.0,145.0,252.0,3.0,mare
decomandat,199000,4.0,117.0,140.0,2.0,mare
semidecomandat,81000,3.0,70.0,80.0,1.0,mediu
decomandat,52285,2.0,51.0,60.0,1.0,mic
semidecomandat,61000,2.0,45.0,50.0,1.0,mic
decomandat,74290,2.0,55.0,65.0,1.0,mediu
,129000,3.0,78.0,,1.0,mediu
decomandat,65000,2.0,51.0,55.0,1.0,mic
decomandat,96500,2.0,66.0,154.0,1.0,mediu
decomandat,56000,2.0,54.0,67.0,1.0,mic
semidecomandat,165710,3.0,64.0,89.0,2.0,mare
decomandat,130000,4.0,86.0,102.0,2.0,mediu
decomandat,82500,3.0,62.0,65.0,1.0,mediu
semidecomandat,63900,2.0,51.0,61.0,1.0,mic
semidecomandat,275000,2.0,108.0,120.0,2.0,mare
decomandat,55570,2.0,59.0,70.0,1.0,mic
decomandat,74290,2.0,55.0,65.0,1.0,mediu
decomandat,107000,3.0,86.0,95.0,2.0,mediu
decomandat,63525,2.0,56.0,66.0,1.0,mic
semidecomandat,77500,1.0,47.0,57.0,1.0,mediu
decomandat,114390,2.0,75.0,90.0,1.0,mediu
decomandat,113800,3.0,71.0,188.0,2.0,mediu
semidecomandat,240000,3.0,85.0,127.0,2.0,mare
decomandat,425000,3.0,101.0,125.0,2.0,mare
decomandat,87150,2.0,67.0,80.0,1.0,mediu
decomandat,66500,2.0,60.0,65.0,1.0,mediu
decomandat,121874,2.0,53.0,66.0,1.0,mediu
decomandat,167653,2.0,55.0,95.0,1.0,mare
decomandat,400000,4.0,130.0,154.0,1.0,mare
semidecomandat,99000,3.0,66.0,70.0,2.0,mediu
semidecomandat,76500,1.0,43.0,58.0,1.0,mediu
decomandat,480000,3.0,187.0,242.0,2.0,mare
decomandat,135000,2.0,60.0,71.0,1.0,mediu
decomandat,86700,3.0,85.0,97.0,1.0,mediu
semidecomandat,74000,1.0,43.0,58.0,1.0,mediu
semidecomandat,167000,3.0,96.0,107.0,2.0,mare
semidecomandat,82000,2.0,56.0,64.0,1.0,mediu
decomandat,46000,3.0,60.0,75.0,1.0,mic
decomandat,62476,1.0,45.0,60.0,1.0,mic
semidecomandat,62000,2.0,48.0,52.0,1.0,mic
semidecomandat,68000,2.0,55.0,60.0,1.0,mediu
decomandat,84500,2.0,55.0,66.0,1.0,mediu
,73000,1.0,44.0,44.0,1.0,mediu
decomandat,45600,1.0,35.0,42.0,1.0,mic
decomandat,46900,2.0,53.0,60.0,1.0,mic
decomandat,869000,4.0,156.0,193.0,3.0,mare
semidecomandat,235000,3.0,113.0,134.0,2.0,mare
decomandat,570000,5.0,223.0,279.0,3.0,mare
decomandat,73625,2.0,49.0,90.0,1.0,mediu
decomandat,90500,2.0,78.0,93.0,2.0,mediu
semidecomandat,160000,2.0,66.0,80.0,2.0,mare
decomandat,255000,4.0,175.0,206.0,3.0,mare
semidecomandat,299900,5.0,137.0,164.0,2.0,mare
decomandat,114330,2.0,68.0,79.0,1.0,mediu
decomandat,83000,2.0,55.0,75.0,1.0,mediu
decomandat,137000,3.0,85.0,102.0,2.0,mediu
decomandat,330000,3.0,153.0,220.0,2.0,mare
semidecomandat,551327,4.0,137.0,254.0,3.0,mare
decomandat,99000,2.0,63.0,80.0,1.0,mediu
decomandat,54000,2.0,50.0,58.0,1.0,mic
decomandat,44300,2.0,49.0,55.0,1.0,mic
semidecomandat,146000,3.0,83.0,111.0,2.0,mare
,75000,1.0,38.0,42.0,1.0,mediu
decomandat,64813,1.0,42.0,52.0,1.0,mic
semidecomandat,299000,3.0,190.0,219.0,2.0,mare
decomandat,170000,3.0,97.0,119.0,2.0,mare
decomandat,97000,3.0,71.0,82.0,2.0,mediu
semidecomandat,240000,3.0,127.0,200.0,2.0,mare
decomandat,76700,2.0,47.0,57.0,1.0,mediu
decomandat,54000,2.0,56.0,67.0,1.0,mic
decomandat,139000,2.0,50.0,55.0,1.0,mediu
semidecomandat,83673,2.0,63.0,79.0,1.0,mediu
semidecomandat,39500,1.0,32.0,42.0,1.0,mic
decomandat,57920,2.0,51.0,62.0,1.0,mic
decomandat,89874,2.0,59.0,67.0,1.0,mediu
decomandat,43900,2.0,50.0,60.0,1.0,mic
decomandat,74900,3.0,70.0,77.0,1.0,mediu
decomandat,43000,1.0,33.0,,1.0,mic
semidecomandat,139900,2.0,64.0,88.0,1.0,mediu
decomandat,90000,3.0,74.0,92.0,2.0,mediu
decomandat,71600,2.0,60.0,66.0,1.0,mediu
decomandat,61360,3.0,78.0,96.0,2.0,mic
semidecomandat,49900,2.0,52.0,52.0,1.0,mic
decomandat,92626,3.0,71.0,82.0,2.0,mediu
semidecomandat,124900,4.0,108.0,130.0,1.0,mediu
decomandat,57600,2.0,57.0,67.0,1.0,mic
decomandat,48000,2.0,54.0,67.0,1.0,mic
decomandat,130000,3.0,87.0,95.0,2.0,mediu
,125000,2.0,60.0,64.0,1.0,mediu
decomandat,48000,2.0,53.0,67.0,1.0,mic
decomandat,109000,4.0,104.0,120.0,2.0,mediu
decomandat,78900,1.0,39.0,57.0,1.0,mediu
decomandat,160460,2.0,59.0,93.0,1.0,mare
decomandat,62500,3.0,60.0,65.0,1.0,mic
semidecomandat,79000,2.0,53.0,60.0,1.0,mediu
decomandat,58570,3.0,70.0,80.0,2.0,mic
circular,139000,3.0,86.0,110.0,2.0,mediu
semidecomandat,73278,2.0,47.0,53.0,1.0,mediu
decomandat,83000,2.0,56.0,70.0,1.0,mediu
semidecomandat,98000,3.0,64.0,,1.0,mediu
decomandat,164000,3.0,70.0,80.0,1.0,mare
decomandat,93000,2.0,53.0,65.0,1.0,mediu
circular,97000,2.0,61.0,77.0,1.0,mediu
decomandat,127500,3.0,71.0,93.0,2.0,mediu
decomandat,78700,3.0,92.0,92.0,2.0,mediu
decomandat,135300,3.0,74.0,,1.0,mediu
decomandat,94990,3.0,73.0,82.0,1.0,mediu
decomandat,405000,3.0,101.0,122.0,2.0,mare
semidecomandat,71500,3.0,71.0,71.0,1.0,mediu
